rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_period_outlier,koi_duration_outlier,koi_depth_outlier,koi_prad_outlier,koi_teq_outlier,koi_insol_outlier,koi_model_snr_outlier,koi_steff_outlier,koi_slogg_outlier,koi_srad_outlier,koi_kepmag_outlier,outlier_flag,predicted_confirmed_probability,priority,catalog_fp_flag_count,eb_indicator,contamination_indicator,artifact_indicator,fp_screening_score,fp_risk
2819,6438099,K02976.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.989,0,0,0,0,21.61313362,9.547e-05,-9.547e-05,137.02689,0.00377,-0.00377,0.714,0.057,-0.507,1.52,0.128,-0.128,818.1,70.4,-70.4,1.94,0.23,-0.1,503.0,15.14,6.15,-3.12,13.8,1.0,q1_q17_dr25_tce,5267.0,156.0,-156.0,4.681,0.025,-0.075,0.632,0.075,-0.034,290.22067,41.868721,15.862,0,0,0,0,0,0,0,0,0,0,0,0,0.6466666666666666,Medium,0,0,0,0,0,Low
3333,7976520,K00687.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.17838675,2.216e-05,-2.216e-05,171.98866,0.00393,-0.00393,0.617,0.009,-0.488,2.123,0.134,-0.134,316.0,23.8,-23.8,3.13,0.42,-0.73,1430.0,988.44,354.88,-435.74,15.1,1.0,q1_q17_dr25_tce,5746.0,77.0,-77.0,4.039,0.202,-0.081,1.687,0.228,-0.391,297.11713,43.71143,13.813,0,0,0,0,0,0,0,0,0,0,0,0,0.6466666666666666,Medium,0,0,0,0,0,Low
2890,8546542,K03073.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.994,0,0,0,0,7.40985182,2.887e-05,-2.887e-05,138.18222,0.00304,-0.00304,0.234,0.221,-0.234,1.131,0.103,-0.103,201.1,19.3,-19.3,1.18,0.26,-0.09,818.0,105.91,72.13,-26.31,13.5,1.0,q1_q17_dr25_tce,5462.0,163.0,-163.0,4.56,0.028,-0.161,0.836,0.186,-0.066,285.7485,44.632462,14.449,0,0,0,0,0,0,0,0,0,0,0,0,0.6433333333333333,Medium,0,0,0,0,0,Low
2828,3752110,K03142.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.962,0,0,0,0,27.9430245,0.0004746,-0.0004746,136.8697,0.0113,-0.0113,0.052,0.412,-0.052,6.125,0.474,-0.474,308.6,29.0,-29.0,2.21,0.68,-0.25,718.0,62.74,57.5,-19.72,12.3,1.0,q1_q17_dr25_tce,6468.0,180.0,-225.0,4.363,0.062,-0.2,1.25,0.388,-0.139,292.80722,38.884232,15.243,0,0,0,0,0,0,0,0,0,0,0,0,0.64,Medium,0,0,0,0,0,Low
4067,8890924,K04269.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.998,0,0,0,0,26.6565737,0.0002052,-0.0002052,131.59433,0.00685,-0.00685,0.686,0.242,-0.48,4.954,0.173,-0.173,163.4,9.4,-9.4,4.15,1.28,-2.98,903.0,157.45,149.44,-146.41,18.8,1.0,q1_q17_dr25_tce,5159.0,171.0,-155.0,3.604,0.863,-0.23,3.062,0.943,-2.2,293.79684,45.160728,13.263,0,0,0,0,0,0,0,0,1,1,0,1,0.6333333333333333,Medium,0,0,0,1,3,Medium
1539,5731623,K01793.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,3.261759866,1.167e-06,-1.167e-06,131.778858,0.000322,-0.000322,0.949,0.035,-0.026,1.7593,0.0301,-0.0301,3876.1,32.2,-32.2,8.01,2.66,-0.89,1262.0,599.54,605.46,-194.11,190.4,1.0,q1_q17_dr25_tce,6131.0,191.0,-234.0,4.497,0.054,-0.229,0.945,0.315,-0.105,298.31674,40.996101,15.28,0,0,1,0,0,0,1,0,0,0,0,1,0.6333333333333333,Medium,0,0,0,1,5,High
9176,6837283,K02914.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.988,0,0,0,0,21.1181653,0.0001574,-0.0001574,133.59196,0.00621,-0.00621,0.675,0.253,-0.452,9.734,0.176,-0.176,112.7,4.9,-4.9,2.89,0.54,-1.02,1110.0,359.11,205.87,-223.64,26.3,1.0,q1_q17_dr25_tce,6461.0,175.0,-175.0,3.779,0.293,-0.098,2.566,0.485,-0.901,281.69159,42.397549,12.199,0,0,0,0,0,0,0,0,0,1,0,1,0.6266666666666667,Medium,0,0,0,1,1,Low
631,10002261,K00959.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.729,0,0,0,0,12.713794177,2.6e-07,-2.6e-07,175.0725677,1.5e-05,-1.5e-05,0.485,0.081,-0.072,2.44093,0.00378,-0.00378,36719.0,12.0,-12.0,2.31,0.0,0.0,181.0,0.26,0.0,0.0,2981.3,1.0,q1_q17_dr25_tce,2661.0,0.0,0.0,5.283,0.0,0.0,0.116,0.0,0.0,287.55972,46.957085,13.102,0,0,1,0,0,0,1,1,1,1,0,1,0.6266666666666667,Medium,0,1,0,1,4,Medium
1287,5039228,K01597.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,7.79668781,2.065e-05,-2.065e-05,134.42081,0.0022,-0.0022,0.005,0.426,-0.005,4.6699,0.0639,-0.0639,361.3,8.7,-8.7,2.44,0.49,-0.13,1116.0,366.42,199.97,-65.89,48.5,1.0,q1_q17_dr25_tce,6521.0,117.0,-143.0,4.352,0.025,-0.136,1.276,0.255,-0.068,298.36884,40.173424,12.681,0,0,0,0,0,0,0,0,0,0,0,0,0.62,Medium,0,0,0,0,0,Low
5211,7017372,K03689.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,5.24088367,2.276e-05,-2.276e-05,136.02877,0.00354,-0.00354,0.65,0.021,-0.041,3.3656,0.029,-0.029,8531.2,27.7,-27.7,12.74,3.85,-2.57,1320.0,716.85,641.99,-326.64,385.7,1.0,q1_q17_dr25_tce,6452.0,181.0,-250.0,4.241,0.17,-0.187,1.305,0.395,-0.263,285.9718,42.545712,14.014,0,0,1,0,0,0,1,0,0,0,0,1,0.6166666666666667,Medium,0,1,0,1,6,High
