kepid,kepoi_name,koi_disposition,koi_score,predicted_confirmed_probability,koi_prad,koi_depth,koi_period,koi_model_snr,outlier_flag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,catalog_fp_flag_count,eb_indicator,contamination_indicator,artifact_indicator,fp_screening_score,fp_risk,evidence
6756369,K05322.01,CANDIDATE,0.334,0.06,8.1,203.3,30.928898,8.5,1,0,0,0,0,0,0,0,1,4,Medium,Large inferred radius; Prepared-data outlier; Low model SNR
9173014,K05633.01,CANDIDATE,0.334,0.0066666666666666,4.35,189.7,151.77884,8.2,1,0,0,0,0,0,0,0,1,4,Medium,Large inferred radius; Prepared-data outlier; Low model SNR
4820550,K03823.01,CANDIDATE,1.0,0.44,5.8,2701.2,202.1168173,56.3,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
9147029,K05626.01,CANDIDATE,0.334,0.28,6.57,2629.7,397.499229,34.8,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
12105051,K00141.01,CANDIDATE,1.0,0.7666666666666667,5.11,2607.0,2.624234833,361.1,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
6766634,K01375.01,CANDIDATE,0.677,0.4366666666666666,7.25,2358.6,321.2124365,81.7,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
8630788,K01258.03,CANDIDATE,0.96,0.6133333333333333,4.3,1707.4,148.272013,21.8,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
5196864,K02695.01,CANDIDATE,1.0,0.0266666666666666,20.23,1156.0,2.50343279,13.2,0,0,0,0,0,0,1,0,0,3,Medium,Very large inferred radius
3248501,K02052.01,CANDIDATE,1.0,0.1633333333333333,4.31,987.0,4.22464216,7.7,0,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Low model SNR
6516185,K02445.01,CANDIDATE,0.989,0.4133333333333333,11.97,757.0,47.3659328,16.0,0,0,0,0,0,0,1,0,0,3,Medium,Very large inferred radius
9571186,K03313.01,CANDIDATE,1.0,0.0233333333333333,21.74,677.0,34.9524256,15.8,0,0,0,0,0,0,1,0,0,3,Medium,Very large inferred radius
10471621,K02554.01,CANDIDATE,0.582,0.1166666666666666,13.72,621.8,39.7557642,10.2,0,0,0,0,0,0,1,0,0,3,Medium,Very large inferred radius
4172013,K02386.01,CANDIDATE,1.0,0.14,28.42,468.0,16.2707207,13.0,0,0,0,0,0,0,1,0,0,3,Medium,Very large inferred radius
6699368,K01694.01,CANDIDATE,0.874,0.0366666666666666,20.23,465.5,3.690317047,43.0,0,0,0,0,0,0,1,0,0,3,Medium,Very large inferred radius
10003058,K04519.01,CANDIDATE,0.898,0.21,5.97,404.4,148.568877,11.6,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
9214176,K05640.01,CANDIDATE,0.334,0.0166666666666666,9.56,391.2,348.665961,10.8,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
5894182,K07750.01,CANDIDATE,0.322,0.0633333333333333,5.03,385.3,494.485085,13.9,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
5115688,K06526.01,CANDIDATE,0.334,0.04,9.3,370.8,486.77832,10.4,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
11443757,K08054.01,CANDIDATE,0.995,0.3233333333333333,7.33,297.8,43.9088053,13.7,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
8376848,K04007.01,CANDIDATE,0.964,0.01,25.01,291.5,11.4927112,18.7,0,0,0,0,0,0,1,0,0,3,Medium,Very large inferred radius
11391755,K02639.02,CANDIDATE,0.334,0.1466666666666666,5.75,263.9,2.121023807,6.4,0,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Low model SNR
10670112,K07360.01,CANDIDATE,0.334,0.0866666666666666,7.76,226.8,4.0953585,60.2,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
8890924,K04269.01,CANDIDATE,0.998,0.6333333333333333,4.15,163.4,26.6565737,18.8,1,0,0,0,0,0,0,0,1,3,Medium,Large inferred radius; Prepared-data outlier
